chr	start	end	gene_id	gene_length
chr11	111107060	111107750	ENSG00000270202	690
chr11	114517864	114518371	ENSG00000270204	507
chr3	7569999	7790482	ENSG00000270207	220483
chr1	58552913	58553333	ENSG00000270209	420
chr2	28425945	28426719	ENSG00000270210	774
chr19	33283978	33293329	ENSG00000270212	9351
chr15	65026088	65026676	ENSG00000270218	588
chr4	67718996	67724262	ENSG00000270228	5266
chr10	8724010	8724288	ENSG00000270234	278
chr9	69107926	69108217	ENSG00000270236	291
chr17	35868935	35997455	ENSG00000270240	128520
chr1	34276859	34277292	ENSG00000270241	433
chr5	172785262	172785424	ENSG00000270243	162
chr4	76886029	76886370	ENSG00000270244	341
chr19	52110318	52110726	ENSG00000270248	408
chr7	102541501	102592444	ENSG00000270249	50943
chr8	19001627	19001950	ENSG00000270255	323
chr4	67638177	67638359	ENSG00000270257	182
chr9	137286112	137287236	ENSG00000270259	1124
chr12	39539581	39539851	ENSG00000270273	270
chr2	178548884	178550681	ENSG00000270277	1797
chr20	58754351	58756838	ENSG00000270279	2487
chr19	34779412	34780021	ENSG00000270281	609
chr1	8512653	8513021	ENSG00000270282	368
chr1	226411615	226412135	ENSG00000270287	520
chr2	180473137	180473419	ENSG00000270289	282
chr4	67725183	67726395	ENSG00000270292	1212
chr20	646626	675800	ENSG00000270299	29174
chr15	28857882	28858398	ENSG00000270301	516
chr4	152308283	152309983	ENSG00000270302	1700
chr15	37253879	37254952	ENSG00000270304	1073
chr7	7735743	7736851	ENSG00000270314	1108
chr3	177920723	177960230	ENSG00000270321	39507
chr15	90281848	90282031	ENSG00000270322	183
chr11	73640479	73641037	ENSG00000270323	558
chr17	62978494	62978841	ENSG00000270324	347
chr8	56776283	56776874	ENSG00000270328	591
chr1	7942372	7942726	ENSG00000270330	354
chr10	109661814	109662050	ENSG00000270333	236
chr2	62348948	62350739	ENSG00000270335	1791
chr4	167741879	167742287	ENSG00000270336	408
chr1	106544342	106544744	ENSG00000270342	402
chr19	53657400	53658462	ENSG00000270347	1062
chr10	63658074	63658521	ENSG00000270352	447
chr2	64208498	64208716	ENSG00000270354	218
chr14	48319068	48319394	ENSG00000270359	326
chr1	154936560	154938159	ENSG00000270361	1599
chr10	47484457	47484754	ENSG00000270369	297
chr15	51351100	51351192	ENSG00000270378	92
chr1	110456505	110457354	ENSG00000270380	849
chr13	45263690	45263915	ENSG00000270381	225
chr6	52657373	52657651	ENSG00000270382	278
chr16	87892955	87893735	ENSG00000270385	780
chr4	147916529	147917386	ENSG00000270387	857
chr22	19018043	19018916	ENSG00000270393	873
chr13	83145540	83145903	ENSG00000270400	363
chr16	33965655	33966091	ENSG00000270401	436
chr19	19708965	19710465	ENSG00000270402	1500
chr11	117659056	117668872	ENSG00000270403	9816
chr7	152366763	152367015	ENSG00000270405	252
chr3	15732252	15733404	ENSG00000270409	1152
chr10	63358745	63359104	ENSG00000270421	359
chr2	31651381	31651862	ENSG00000270422	481
chr11	109985243	109985660	ENSG00000270423	417
chr16	28749959	28750595	ENSG00000270424	636
chr7	108720608	108721601	ENSG00000270425	993
chr4	184471924	184472609	ENSG00000270426	685
chr5	29105568	29106861	ENSG00000270430	1293
chr10	45812648	45812944	ENSG00000270434	296
chr11	6297189	6298606	ENSG00000270435	1417
chr2	63083008	63087322	ENSG00000270437	4314
chr16	5838131	5838661	ENSG00000270440	530
chr5	155491336	155493598	ENSG00000270442	2262
chr1	182433893	182434461	ENSG00000270443	568
chr2	59514890	59515124	ENSG00000270447	234
chr11	104682383	104682581	ENSG00000270449	198
chr7	92442077	92442489	ENSG00000270453	412
chr1	59289303	59289640	ENSG00000270457	337
chr12	55662337	55662501	ENSG00000270458	164
chr2	173532774	173814677	ENSG00000270460	281903
chr2	75697583	75697996	ENSG00000270462	413
chr18	14053951	14054761	ENSG00000270469	810
chr2	78437850	78438921	ENSG00000270470	1071
chr19	22708834	22709314	ENSG00000270475	480
chr4	82691737	82692468	ENSG00000270480	731
chr12	118375291	118376286	ENSG00000270482	995
chr6	94442030	94443809	ENSG00000270484	1779
chr6	156780327	156780455	ENSG00000270487	128
chr2	10874291	10874567	ENSG00000270488	276
chr15	66808404	66810560	ENSG00000270490	2156
chr11	34742906	34743199	ENSG00000270491	293
chr10	68717311	68717795	ENSG00000270494	484
chr5	28808538	28809255	ENSG00000270495	717
chr6	3751111	3753907	ENSG00000270504	2796
chr1	88313153	88313302	ENSG00000270507	149
chr6	67933485	67934682	ENSG00000270509	1197
chr11	87323709	87324359	ENSG00000270510	650
chr7	140282465	140282920	ENSG00000270512	455
chr5	42729138	42729519	ENSG00000270513	381
chr7	119178177	119179149	ENSG00000270516	972
chr19	22770937	22771191	ENSG00000270518	254
chr6	66710242	66710827	ENSG00000270521	585
chr13	43787591	43787852	ENSG00000270522	261
chr21	9997487	9998033	ENSG00000270533	546
chr2	236367560	236369102	ENSG00000270540	1542
chr10	55746551	55746908	ENSG00000270541	357
chr9	33449755	33449941	ENSG00000270542	186
chr1	62530636	62530873	ENSG00000270549	237
chr17	60513190	60513550	ENSG00000270553	360
chr7	72768798	72769191	ENSG00000270555	393
chr2	157877683	157878565	ENSG00000270557	882
chr5	37286449	37286977	ENSG00000270558	528
chr2	57429548	57430693	ENSG00000270569	1145
chr2	178578790	178580906	ENSG00000270574	2116
chr1	178194342	178194709	ENSG00000270575	367
chr14	73840520	73840609	ENSG00000270576	89
chr7	40115685	40115943	ENSG00000270577	258
chr11	95145437	95146004	ENSG00000270578	567
chr7	156263547	156263802	ENSG00000270584	255
chr11	39873782	39874388	ENSG00000270588	606
chr10	110910596	110912244	ENSG00000270589	1648
chr14	103762803	103763147	ENSG00000270591	344
chr7	16849957	16850725	ENSG00000270593	768
chr1	226127178	226127346	ENSG00000270598	168
chr1	28239509	28247210	ENSG00000270605	7701
chr14	70234495	70235095	ENSG00000270610	600
chr7	9850924	9851386	ENSG00000270611	462
chr5	160326693	160326969	ENSG00000270612	276
chr14	23767662	23768998	ENSG00000270618	1336
chr1	15917698	15917908	ENSG00000270620	210
chr19	34866352	34866919	ENSG00000270624	567
chr9	78589158	78589539	ENSG00000270627	381
chr1	115577229	115577786	ENSG00000270631	557
chr13	100198187	100198469	ENSG00000270632	282
chr7	147704294	147704575	ENSG00000270634	281
chr6	145735570	145737218	ENSG00000270638	1648
chr2	28396815	28397110	ENSG00000270640	295
chr6	143386581	143387409	ENSG00000270655	828
chr2	213151965	213153738	ENSG00000270659	1773
chr6	112217640	112219570	ENSG00000270661	1930
chr2	202995194	202995403	ENSG00000270664	209
chr6	27515039	27515274	ENSG00000270666	235
chr4	77216416	77216878	ENSG00000270669	462
chr19	44290081	44290911	ENSG00000270679	830
chr13	29339566	29339869	ENSG00000270680	303
chr4	151139991	151141103	ENSG00000270681	1112
chr8	97788210	97788357	ENSG00000270682	147
chr9	86228815	86228983	ENSG00000270688	168
chr15	65458574	65459534	ENSG00000270690	960
chr9	79850871	79855652	ENSG00000270691	4781
chr7	72722885	72723089	ENSG00000270694	204
chr6	4529722	4530008	ENSG00000270695	286
chr2	75660462	75662208	ENSG00000270696	1746
chr5	137761546	137761936	ENSG00000270697	390
chr16	85814425	85815062	ENSG00000270698	637
chr2	100377421	100377532	ENSG00000270699	111
chr11	81842435	81842669	ENSG00000270701	234
chr15	41718370	41718672	ENSG00000270702	302
chr14	103207748	103207789	ENSG00000270705	41
chr1	220220291	220220593	ENSG00000270708	302
chr1	235565761	235566937	ENSG00000270710	1176
chr1	180970837	180971247	ENSG00000270711	410
chr9	19957394	19958147	ENSG00000270712	753
chr14	38973399	38974085	ENSG00000270713	686
chr12	39170646	39170880	ENSG00000270718	234
chr1	117700029	117700242	ENSG00000270719	213
chr4	89119284	89119871	ENSG00000270720	587
chr13	97939356	97953539	ENSG00000270725	14183
chr10	20547171	20547422	ENSG00000270727	251
chr1	19297080	19297903	ENSG00000270728	823
chr1	26263041	26263398	ENSG00000270733	357
chr16	14862380	14862749	ENSG00000270734	369
chr7	57629285	57630151	ENSG00000270749	866
chr11	97086160	97086682	ENSG00000270753	522
chr9	130044713	130045081	ENSG00000270755	368
chr19	36144081	36148348	ENSG00000270760	4267
chr7	105189190	105189814	ENSG00000270764	624
chr12	31244440	31244685	ENSG00000270766	245
chr10	44488335	44488445	ENSG00000270767	110
chr2	152539197	152539427	ENSG00000270776	230
chr20	11001304	11001763	ENSG00000270777	459
chr5	110908284	110908713	ENSG00000270779	429
chr17	48899131	48899748	ENSG00000270781	617
chr3	120924612	120925158	ENSG00000270782	546
chr15	32461666	32461809	ENSG00000270789	143
chr19	57151587	57151860	ENSG00000270790	273
chr20	10672928	10991642	ENSG00000270792	318714
chr7	39788967	39789304	ENSG00000270797	337
chr2	121743479	121745921	ENSG00000270798	2442
chr2	174171891	174172725	ENSG00000270799	834
chr19	15338948	15339237	ENSG00000270802	289
chr12	33717853	33718217	ENSG00000270807	364
chr10	73740538	73740823	ENSG00000270808	285
chr10	7154120	7154236	ENSG00000270811	116
chr7	88455309	88456191	ENSG00000270812	882
chr2	124778454	124778640	ENSG00000270815	186
chr1	242882066	242883475	ENSG00000270818	1409
chr7	5009164	5009328	ENSG00000270822	164
chr7	130495794	130498427	ENSG00000270823	2633
chr6	145736911	145785659	ENSG00000270828	48748
chr17	35808489	35808897	ENSG00000270829	408
chr5	50903608	50903743	ENSG00000270830	135
chr21	38204544	38205606	ENSG00000270835	1062
chr5	175483595	175484192	ENSG00000270839	597
chr4	82775461	82776101	ENSG00000270842	640
chr1	32421979	32422319	ENSG00000270850	340
chr14	62150656	62152258	ENSG00000270852	1602
chr13	61927090	61927272	ENSG00000270856	182
chr12	12248991	12249427	ENSG00000270857	436
chr1	242671140	242671576	ENSG00000270859	436
chr8	76403559	76405447	ENSG00000270866	1888
chr11	102306112	102306271	ENSG00000270868	159
chr17	65654914	65655395	ENSG00000270870	481
chr17	35816717	35830293	ENSG00000270871	13576
chr4	152317900	152320357	ENSG00000270883	2457
chr6	143858062	143858689	ENSG00000270890	627
chr2	230836909	230837385	ENSG00000270891	476
chr5	134863091	134863433	ENSG00000270892	342
chr2	159444117	159444913	ENSG00000270893	796
chr17	35818399	35823713	ENSG00000270894	5314
chr6	29763258	29763392	ENSG00000270896	134
chr11	11182107	11182413	ENSG00000270897	306
chr10	123323422	123323586	ENSG00000270902	164
chr9	41979352	41983753	ENSG00000270909	4401
chr1	97855575	97856825	ENSG00000270911	1250
chr1	12017216	12017308	ENSG00000270914	92
chr9	120812475	120812845	ENSG00000270917	370
chr15	80580029	80580566	ENSG00000270919	537
chr16	33848476	33848644	ENSG00000270924	168
chr12	31105105	31106830	ENSG00000270926	1725
chr1	29904865	29905357	ENSG00000270927	492
chr7	25948657	25950890	ENSG00000270933	2233
chr6	110598093	110598705	ENSG00000270934	612
chr6	1026494	1027225	ENSG00000270937	731
chr19	22427740	22456463	ENSG00000270947	28723
chr20	58876592	58876981	ENSG00000270951	389
chr7	130507660	130508282	ENSG00000270953	622
chr15	30282533	30288389	ENSG00000270955	5856
chr2	178541125	178541799	ENSG00000270956	674
chr7	57485166	57485895	ENSG00000270957	729
chr4	164933086	164933506	ENSG00000270960	420
chr1	143784376	143784671	ENSG00000270962	295
chr8	8933721	8934006	ENSG00000270966	285
chr11	107585901	107586903	ENSG00000270969	1002
chr11	333192	333688	ENSG00000270972	496
chr1	106780223	106780435	ENSG00000270976	212
chr17	35908474	35911651	ENSG00000270977	3177
chr5	151848886	151850791	ENSG00000270978	1905
chr8	54191582	54192035	ENSG00000270980	453
chr9	101449801	101449933	ENSG00000270982	132
chr6	142062717	142063053	ENSG00000270983	336
chr6	100889603	100890338	ENSG00000270987	735
chr8	1974818	1975314	ENSG00000270988	496
chr5	176203314	176203710	ENSG00000270989	396
chr7	150676833	150677918	ENSG00000270990	1085
chr7	130255902	130262770	ENSG00000270992	6868
chr17	75060491	75060620	ENSG00000270993	129
chr1	183709305	183710240	ENSG00000270994	935
chr2	75719120	75720018	ENSG00000270996	898
chr7	113415689	113416322	ENSG00000270997	633
chr17	8199123	8199437	ENSG00000271002	314
chr2	95607073	95616592	ENSG00000271003	9519
chr16	73060245	73062316	ENSG00000271009	2071
chr2	178577103	178577622	ENSG00000271011	519
chr2	85360798	85360925	ENSG00000271014	127
chr12	50756892	50757433	ENSG00000271018	541
chr11	121426645	121427416	ENSG00000271022	771
chr11	112036627	112036863	ENSG00000271025	236
chr7	31330711	31330896	ENSG00000271027	185
chr11	43063637	43065932	ENSG00000271028	2295
chr17	8296505	8297216	ENSG00000271029	711
chr19	35014961	35025335	ENSG00000271032	10374
chr6	99082449	99082761	ENSG00000271042	312
chr15	84940504	84941133	ENSG00000271044	629
chr10	11673618	11680527	ENSG00000271046	6909
chr7	56603410	56603553	ENSG00000271047	143
chr8	134673131	134673512	ENSG00000271048	381
chr19	34634844	34635717	ENSG00000271049	873
chr4	116858093	116858973	ENSG00000271053	880
chr4	9020857	9021161	ENSG00000271057	304
chr7	66748838	66749077	ENSG00000271064	239
chr6	26611903	26613109	ENSG00000271071	1206
chr2	211104934	211105732	ENSG00000271074	798
chr14	52871458	52872217	ENSG00000271075	759
chr15	32250302	32256125	ENSG00000271078	5823
chr6	104860449	104862123	ENSG00000271099	1674
chr11	63698596	63698764	ENSG00000271100	168
chr17	71011997	71013587	ENSG00000271101	1590
chr6	67456346	67457250	ENSG00000271111	904
chr6	87891424	87891869	ENSG00000271114	445
chr7	36146842	36148024	ENSG00000271117	1182
chr8	23805933	23806154	ENSG00000271118	221
chr22	15794901	15797909	ENSG00000271127	3008
chr5	134081914	134082040	ENSG00000271128	126
chr16	69025860	69026643	ENSG00000271129	783
chr2	178616581	178617123	ENSG00000271141	542
chr1	115916497	115916699	ENSG00000271143	202
chr8	49906863	49907446	ENSG00000271148	583
chr19	22595479	22596163	ENSG00000271149	684
chr19	47794650	47794920	ENSG00000271150	270
chr2	173968351	173969418	ENSG00000271151	1067
chr9	95506235	95507636	ENSG00000271155	1401
chr9	71804283	71804826	ENSG00000271166	543
chr4	25220403	25220913	ENSG00000271172	510
chr12	100525186	100525420	ENSG00000271177	234
chr12	125900421	125901483	ENSG00000271184	1062
chr7	10940423	10940735	ENSG00000271185	312
chr1	191179521	191179739	ENSG00000271187	218
chr3	43994791	44111407	ENSG00000271192	116616
chr15	61674767	61675212	ENSG00000271195	445
chr5	138454540	138454732	ENSG00000271196	192
chr14	106206603	106208571	ENSG00000271201	1968
chr7	130930209	130932206	ENSG00000271204	1997
chr6	112234165	112234758	ENSG00000271208	593
chr9	114491564	114491741	ENSG00000271214	177
chr6	53918974	53920788	ENSG00000271218	1814
chr8	121113358	121113919	ENSG00000271219	561
chr10	28812899	28813139	ENSG00000271220	240
chr17	44596346	44597344	ENSG00000271222	998
chr2	32013061	32013368	ENSG00000271228	307
chr5	6532891	6533200	ENSG00000271230	309
chr6	170297876	170298375	ENSG00000271234	499
chr18	28824652	28824826	ENSG00000271238	174
chr17	70778604	70779230	ENSG00000271239	626
chr8	133962992	133963259	ENSG00000271240	267
chr2	61575774	61576394	ENSG00000271243	620
chr8	5455218	5455665	ENSG00000271248	447
chr13	21216555	21216660	ENSG00000271250	105
chr10	8472719	8472952	ENSG00000271251	233
chr1	95743096	95759470	ENSG00000271252	16374
chr7	12685637	12686033	ENSG00000271253	396
chr5	58503295	58503700	ENSG00000271257	405
chr6	156774217	156774662	ENSG00000271265	445
chr1	155566050	155566306	ENSG00000271267	256
chr17	35861093	35861566	ENSG00000271268	473
chr1	182733792	182734779	ENSG00000271269	987
chr12	42929848	42930579	ENSG00000271272	731
chr22	18997138	18997595	ENSG00000271275	457
chr1	101882516	101882894	ENSG00000271277	378
chr19	19699203	19699409	ENSG00000271283	206
chr1	145269604	145269890	ENSG00000271291	286
chr19	41073804	41074107	ENSG00000271299	303
chr4	121118299	121118734	ENSG00000271302	435
chr4	189979902	189982379	ENSG00000271307	2477
chr18	71932493	71932796	ENSG00000271313	303
chr9	95494924	95495379	ENSG00000271314	455
chr2	16149251	16149394	ENSG00000271315	143
chr2	157917712	157918371	ENSG00000271320	659
chr12	89367807	89369301	ENSG00000271327	1494
chr1	44187943	44189049	ENSG00000271329	1106
chr7	24674309	24674612	ENSG00000271330	303
chr15	30420283	30420429	ENSG00000271333	146
chr6	53381519	53382203	ENSG00000271338	684
chr17	80515657	80515812	ENSG00000271340	155
chr10	119093140	119093341	ENSG00000271343	201
chr7	128690451	128691717	ENSG00000271344	1266
chr8	96126967	96127801	ENSG00000271349	834
chr11	47041027	47041945	ENSG00000271350	918
chr10	119562101	119562530	ENSG00000271353	429
chr1	47483698	47484162	ENSG00000271355	464
chr12	32100485	32100735	ENSG00000271357	250
chr14	96019484	96019765	ENSG00000271358	281
chr15	79984151	79985724	ENSG00000271364	1573
chr19	35251440	35253639	ENSG00000271366	2199
chr6	53350158	53350705	ENSG00000271367	547
chr7	109763574	109764357	ENSG00000271368	783
chr11	34709600	34710161	ENSG00000271369	561
chr12	12452103	12452481	ENSG00000271370	378
chr12	42069935	42070625	ENSG00000271379	690
chr12	93945041	93947813	ENSG00000271382	2772
chr9	95406990	95407662	ENSG00000271384	672
chr10	91464578	91464708	ENSG00000271385	130
chr11	111089870	111090368	ENSG00000271390	498
chr17	35757191	35764875	ENSG00000271392	7684
chr15	90284376	90285580	ENSG00000271396	1204
chr1	28247144	28247568	ENSG00000271398	424
chr1	228858010	228858556	ENSG00000271399	546
chr2	178644717	178645179	ENSG00000271401	462
chr5	55356308	55357523	ENSG00000271410	1215
chr7	135650972	135651416	ENSG00000271414	444
chr12	27093923	27094223	ENSG00000271418	300
chr1	114353986	114355178	ENSG00000271419	1192
chr1	23378380	23379029	ENSG00000271420	649
chr1	117364899	117365473	ENSG00000271427	574
chr10	124447152	124450048	ENSG00000271434	2896
chr13	98553243	98553780	ENSG00000271437	537
chr1	144401069	144401355	ENSG00000271439	286
chr2	38535258	38535695	ENSG00000271443	437
chr2	75669989	75670454	ENSG00000271452	465
chr9	39159071	39160319	ENSG00000271454	1248
chr5	50603229	50603511	ENSG00000271455	282
chr16	57332379	57332599	ENSG00000271456	220
chr1	171755803	171756323	ENSG00000271459	520
chr12	19418927	19419161	ENSG00000271462	234
chr14	38605255	38606098	ENSG00000271468	843
chr1	228776312	228776865	ENSG00000271475	553
chr5	155397291	155398353	ENSG00000271477	1062
chr7	105204600	105204859	ENSG00000271482	259
chr3	194471923	194472085	ENSG00000271483	162
chr12	50806335	50806437	ENSG00000271490	102
chr11	23370116	23377644	ENSG00000271491	7528
chr5	151380341	151382381	ENSG00000271494	2040
chr16	28548331	28548658	ENSG00000271495	327
chr6	112825939	112826470	ENSG00000271498	531
chr19	19750618	19752544	ENSG00000271499	1926
chr12	1695830	1698044	ENSG00000271500	2214
chr15	22202392	22202734	ENSG00000271507	342
chr12	43633093	43633281	ENSG00000271508	188
chr8	127292233	127292440	ENSG00000271509	207
chr14	64361392	64361637	ENSG00000271511	245
chr7	130790208	130791724	ENSG00000271522	1516
chr7	9084022	9084175	ENSG00000271526	153
chr1	165941235	165941769	ENSG00000271527	534
chr2	73877566	73878862	ENSG00000271536	1296
chr7	139198557	139199142	ENSG00000271537	585
chr11	47796169	47796379	ENSG00000271543	210
chr4	10238213	10238235	ENSG00000271544	22
chr1	148795797	148796325	ENSG00000271546	528
chr12	48800576	48801086	ENSG00000271547	510
chr6	156776360	156778422	ENSG00000271551	2062
chr7	128667043	128668156	ENSG00000271553	1113
chr1	35992109	36013630	ENSG00000271554	21521
chr8	52722903	52723141	ENSG00000271555	238
chr1	187506838	187507119	ENSG00000271558	281
chr13	26229332	26229644	ENSG00000271559	312
chr8	101337496	101337649	ENSG00000271560	153
chr20	6219199	6219443	ENSG00000271565	244
chr7	150603561	150604644	ENSG00000271568	1083
chr10	87027184	87027477	ENSG00000271573	293
chr1	101190520	101190994	ENSG00000271578	474
chr12	115299588	115300708	ENSG00000271579	1120
chr1	205091163	205091946	ENSG00000271580	783
chr6	31356647	31357637	ENSG00000271581	990
chr7	150484061	150485135	ENSG00000271582	1074
chr2	146833501	146834038	ENSG00000271583	537
chr7	44601032	44601487	ENSG00000271586	455
chr17	65644308	65644617	ENSG00000271587	309
chr2	111210995	111212476	ENSG00000271590	1481
chr12	50949117	50949384	ENSG00000271596	267
chr2	69251818	69252364	ENSG00000271597	546
chr19	21025915	21026041	ENSG00000271598	126
chr11	102308557	102308797	ENSG00000271600	240
chr4	155385352	155385492	ENSG00000271606	140
chr6	108551018	108551207	ENSG00000271608	189
chr16	21538487	21538794	ENSG00000271609	307
chr7	140934867	140935010	ENSG00000271611	143
chr15	28830619	28831182	ENSG00000271616	563
chr1	71738173	71738354	ENSG00000271618	181
chr12	50847925	50848312	ENSG00000271621	387
chr16	28364700	28365333	ENSG00000271623	633
chr11	131770795	131771638	ENSG00000271624	843
chr2	21198518	21198896	ENSG00000271629	378
chr14	19199763	19200279	ENSG00000271632	516
chr1	144965025	144965135	ENSG00000271644	110
chr10	42209990	42210383	ENSG00000271650	393
chr13	54116476	54116851	ENSG00000271652	375
chr3	37216779	37217988	ENSG00000271653	1209
chr8	18387108	18387777	ENSG00000271654	669
chr14	81003325	81003645	ENSG00000271656	320
chr2	62168862	62171163	ENSG00000271657	2301
chr9	95514045	95514520	ENSG00000271659	475
chr7	149275619	149277992	ENSG00000271664	2373
chr19	34825414	34825996	ENSG00000271666	582
chr2	116687218	116687387	ENSG00000271667	169
chr10	120879256	120880667	ENSG00000271670	1411
chr3	96244732	96245335	ENSG00000271671	603
chr4	77112495	77113458	ENSG00000271676	963
chr1	206905928	206906393	ENSG00000271680	465
chr5	178344843	178345316	ENSG00000271681	473
chr16	33851785	33852069	ENSG00000271691	284
chr7	57835309	57836251	ENSG00000271696	942
chr14	67735195	67735350	ENSG00000271697	155
chr8	144353228	144355609	ENSG00000271698	2381
chr1	248601416	248601869	ENSG00000271701	453
chr18	77632928	77633360	ENSG00000271702	432
chr2	120866378	120867404	ENSG00000271709	1026
chr14	84998278	84999296	ENSG00000271712	1018
chr5	10269489	10269918	ENSG00000271715	429
chr3	11607184	11610748	ENSG00000271716	3564
chr19	8222153	8239648	ENSG00000271717	17495
chr5	146375591	146376219	ENSG00000271724	628
chr15	81303215	81309391	ENSG00000271725	6176
chr6	692382	834289	ENSG00000271727	141907
chr6	108998482	108999125	ENSG00000271730	643
chr1	16590915	16617802	ENSG00000271732	26887
chr5	134004809	134005577	ENSG00000271737	768
chr1	34981533	35031741	ENSG00000271741	50208
chr1	15682873	15683128	ENSG00000271742	255
chr8	6615604	6617198	ENSG00000271743	1594
chr1	6393555	6394391	ENSG00000271746	836
chr17	63393355	63393586	ENSG00000271749	231
chr5	50662859	50663266	ENSG00000271752	407
chr6	43519180	43519724	ENSG00000271754	544
chr6	27404010	27406964	ENSG00000271755	2954
chr11	7704628	7882947	ENSG00000271758	178319
chr6	57902609	57903148	ENSG00000271761	539
chr15	92602910	92620015	ENSG00000271763	17105
chr5	127478295	127478737	ENSG00000271766	442
chr5	34158121	34158767	ENSG00000271771	646
chr20	53255979	53487274	ENSG00000271774	231295
chr13	78596129	78599619	ENSG00000271776	3490
chr3	158782547	158783124	ENSG00000271778	577
chr17	64572829	64573081	ENSG00000271779	252
chr14	101948125	101963357	ENSG00000271780	15232
chr5	675826	676616	ENSG00000271781	790
chr2	10054421	10054866	ENSG00000271787	445
chr6	111297126	111298510	ENSG00000271789	1384
chr6	85504776	85678733	ENSG00000271793	173957
chr5	151509453	151512769	ENSG00000271795	3316
chr5	115262505	115265779	ENSG00000271797	3274
chr20	33674517	33675380	ENSG00000271803	863
chr1	2141084	2145279	ENSG00000271806	4195
chr1	112702614	112711433	ENSG00000271810	8819
chr1	170667381	170669425	ENSG00000271811	2044
chr6	170266669	170276918	ENSG00000271820	10249
chr6	31200165	31201918	ENSG00000271821	1753
chr2	177300600	177302006	ENSG00000271825	1406
chr5	56927874	56929573	ENSG00000271828	1699
chr8	103481266	103481619	ENSG00000271830	353
chr9	127366770	127367397	ENSG00000271833	627
chr3	64008082	64008692	ENSG00000271843	610
chr17	9553323	9555696	ENSG00000271851	2373
chr2	9555874	9579635	ENSG00000271855	23761
chr6	45421079	45422005	ENSG00000271857	926
chr3	50365334	50368197	ENSG00000271858	2863
chr6	97283268	98463102	ENSG00000271860	1179834
chr5	83049376	83050964	ENSG00000271862	1588
chr2	3496956	3497428	ENSG00000271868	472
chr5	141952419	141953375	ENSG00000271871	956
chr8	101208148	101208558	ENSG00000271882	410
chr5	17107360	17107789	ENSG00000271892	429
chr2	195451778	195546947	ENSG00000271893	95169
chr2	56118076	56386171	ENSG00000271894	268095
chr6	11586868	11711615	ENSG00000271897	124747
chr17	19601840	19602256	ENSG00000271900	416
chr13	34545929	34696619	ENSG00000271901	150690
chr1	35929720	35930115	ENSG00000271914	395
chr3	53797764	53798019	ENSG00000271916	255
chr1	164828436	164829952	ENSG00000271917	1516
chr5	116083807	116085455	ENSG00000271918	1648
chr3	154329716	154329819	ENSG00000271922	103
chr5	72953635	72954274	ENSG00000271926	639
chr8	98943595	98944098	ENSG00000271930	503
chr10	84138420	84140582	ENSG00000271933	2162
chr2	24825610	24826717	ENSG00000271936	1107
chr3	44337941	44338552	ENSG00000271937	611
chr8	42139451	42140812	ENSG00000271938	1361
chr6	76774893	77097788	ENSG00000271945	322895
chr2	6905724	6906301	ENSG00000271947	577
chr1	89633140	89933250	ENSG00000271949	300110
chr4	38618265	38619437	ENSG00000271958	1172
chr8	141433946	141437958	ENSG00000271959	4012
chr12	133115692	133122340	ENSG00000271963	6648
chr3	16314439	16314987	ENSG00000271964	548
chr6	70596438	70596980	ENSG00000271967	542
chr12	6964949	6965382	ENSG00000271969	433
chr8	93715378	93716113	ENSG00000271971	735
chr3	53858994	53861576	ENSG00000271976	2582
chr6	5031756	5054423	ENSG00000271978	22667
chr10	22332584	22334490	ENSG00000271981	1906
chr15	80693216	80693707	ENSG00000271983	491
chr20	45892694	45893419	ENSG00000271984	725
chr10	79526508	79526631	ENSG00000271985	123
chr1	10429881	10430677	ENSG00000271989	796
chr1	70445071	70445536	ENSG00000271992	465
chr3	37182107	37182734	ENSG00000271993	627
chr2	177306373	177310572	ENSG00000271996	4199
chr5	10195187	10197622	ENSG00000271998	2435
chr1	1659027	1662939	ENSG00000272004	3912
chr17	64951498	64951609	ENSG00000272006	111
chr6	87151159	87155491	ENSG00000272008	4332
chr8	65591850	65592472	ENSG00000272010	622
chr5	95834772	95864541	ENSG00000272021	29769
chr8	51950284	51950690	ENSG00000272024	406
chr2	34692290	34703606	ENSG00000272027	11316
chr1	167379108	167381000	ENSG00000272033	1892
chr8	102256392	102257821	ENSG00000272037	1429
chr8	122780145	122781162	ENSG00000272043	1017
chr13	87807634	87811232	ENSG00000272046	3598
chr20	62477870	62478594	ENSG00000272050	724
chr2	37208875	37212677	ENSG00000272054	3802
chr2	27053618	27054276	ENSG00000272056	658
chr5	6779458	6779998	ENSG00000272071	540
chr7	107192559	107193300	ENSG00000272072	741
chr8	51810110	51810681	ENSG00000272076	571
chr3	44667412	44669364	ENSG00000272077	1952
chr1	10639241	10654333	ENSG00000272078	15092
chr16	3004871	3007388	ENSG00000272079	2517
chr1	19072110	19075511	ENSG00000272084	3401
chr3	158693120	158693768	ENSG00000272087	648
chr1	3487246	3487627	ENSG00000272088	381
chr8	38382364	38383461	ENSG00000272092	1097
chr1	90860550	90862920	ENSG00000272094	2370
chr1	52353487	52353877	ENSG00000272100	390
chr5	36861736	36867238	ENSG00000272103	5502
chr3	50350892	50367923	ENSG00000272104	17031
chr1	1613758	1615795	ENSG00000272106	2037
chr5	141118680	141120765	ENSG00000272108	2085
chr5	96803688	96806105	ENSG00000272109	2417
chr5	151724831	151725356	ENSG00000272112	525
